Product_Name,Original_Price,Offered_Price,Product_Url
"HP Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home) 245 G7 Thin and Light Laptop  (14 inch, Black, 1.52 kg)","40,264","39,990",https://www.flipkart.com/hp-ryzen-5-quad-core-8-gb-1-tb-hdd-windows-10-home-245-g7-thin-light-laptop/p/itm810b5a65e632f?pid=COMFWEYZGGXBGSVS&lid=LSTCOMFWEYZGGXBGSVSHAD0VN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=7387046b-3b3c-4f66-acde-e79a279f5106.COMFWEYZGGXBGSVS.SEARCH&ppt=hp&ppn=homepage&ssid=mpe3w0611c0000001622429046240&qH=c06ea84a1e3dc3c6
"Mi Notebook 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) JYU4299IN Thin and Light Laptop  (14 inch, Silver, 1.50 kg)","49,179","46,999",https://www.flipkart.com/mi-notebook-14-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-jyu4299in-thin-light-laptop/p/itm89cd4bf49a59f?pid=COMFZAM2PZNZHEYH&lid=LSTCOMFZAM2PZNZHEYHMZHLY8&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=7387046b-3b3c-4f66-acde-e79a279f5106.COMFZAM2PZNZHEYH.SEARCH&ppt=hp&ppn=homepage&ssid=mpe3w0611c0000001622429046240&qH=c06ea84a1e3dc3c6
"HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15-ec0104AX Gaming Laptop  (15.6 inch, Black, 1.98 kg)","69,003","59,990",https://www.flipkart.com/hp-pavilion-gaming-ryzen-5-quad-core-3550h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-15-ec0104ax-laptop/p/itmd913c0c99513d?pid=COMFSFNVHASSGMGQ&lid=LSTCOMFSFNVHASSGMGQKLIXSJ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=7387046b-3b3c-4f66-acde-e79a279f5106.COMFSFNVHASSGMGQ.SEARCH&ppt=hp&ppn=homepage&ssid=mpe3w0611c0000001622429046240&qH=c06ea84a1e3dc3c6
"Lenovo Ideapad Flex 5 Ryzen 5 Hexa Core 4500U 4th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ARE05 2 in 1 Laptop  (14 inch, Graphite Grey, 1.5 kg, With MS Office)","82,490","59,990",https://www.flipkart.com/lenovo-ideapad-flex-5-ryzen-hexa-core-4500u-4th-gen-8-gb-512-gb-ssd-windows-10-home-14are05-2-1-laptop/p/itmbd22ea77a5348?pid=COMFTPG2V58JJW3N&lid=LSTCOMFTPG2V58JJW3NHBXL07&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=7387046b-3b3c-4f66-acde-e79a279f5106.COMFTPG2V58JJW3N.SEARCH&ppt=hp&ppn=homepage&ssid=mpe3w0611c0000001622429046240&qH=c06ea84a1e3dc3c6
"HP 15s Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) 15s-eq0500AU Thin and Light Laptop  (15.6 Inches, Natural Silver, 1.69 KG, With MS Office)","52,575","46,990",https://www.flipkart.com/hp-15s-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-10-home-15s-eq0500au-thin-light-laptop/p/itm332829f51ddf9?pid=COMG22MX8FYVBNYZ&lid=LSTCOMG22MX8FYVBNYZC0O4P9&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=7387046b-3b3c-4f66-acde-e79a279f5106.COMG22MX8FYVBNYZ.SEARCH&ppt=hp&ppn=homepage&ssid=mpe3w0611c0000001622429046240&qH=c06ea84a1e3dc3c6
"Lenovo IdeaPad 3 Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) 14ADA05 Laptop  (14 Inches, Platinum Grey, 1.6 KG, With MS Office)","55,990","42,990",https://www.flipkart.com/lenovo-ideapad-3-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-10-home-14ada05-laptop/p/itm49cfa1c074076?pid=COMG23RKNK6SU8HT&lid=LSTCOMG23RKNK6SU8HTMCHUJD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=SEARCH&iid=7387046b-3b3c-4f66-acde-e79a279f5106.COMG23RKNK6SU8HT.SEARCH&ppt=hp&ppn=homepage&ssid=mpe3w0611c0000001622429046240&qH=c06ea84a1e3dc3c6
"HP 14s Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s- DY2501TU Thin and Light Laptop  (14 inch, Natural Silver, 1.46 kg, With MS Office)","45,892","40,490",https://www.flipkart.com/hp-14s-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-14s-dy2501tu-thin-light-laptop/p/itmdce0f13dd3a4e?pid=COMG2TFSNK3KRFPA&lid=LSTCOMG2TFSNK3KRFPADKUW6O&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=7387046b-3b3c-4f66-acde-e79a279f5106.COMG2TFSNK3KRFPA.SEARCH&ppt=hp&ppn=homepage&ssid=mpe3w0611c0000001622429046240&qH=c06ea84a1e3dc3c6
"MSI GP65 Leopard Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060/144 Hz) GP65 Leopard 10SEK-830IN Gaming Laptop  (15.6 inches, Black&Silver, 2.33 kg)","1,45,990","99,990",https://www.flipkart.com/msi-gp65-leopard-core-i7-10th-gen-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-rtx-2060-144-hz-10sek-830in-gaming-laptop/p/itm34d2dc3928e2b?pid=COMGFYZ3AYJAZANF&lid=LSTCOMGFYZ3AYJAZANF90VZXS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=7387046b-3b3c-4f66-acde-e79a279f5106.COMGFYZ3AYJAZANF.SEARCH&ppt=hp&ppn=homepage&ssid=mpe3w0611c0000001622429046240&qH=c06ea84a1e3dc3c6
"HP 15s Athlon Dual Core - (4 GB/1 TB HDD/Windows 10 Home) 15s-GY0001AU Thin and Light Laptop  (15.6 inch, Jet Black, 1.76 kg, With MS Office)","28,420","27,499",https://www.flipkart.com/hp-15s-athlon-dual-core-4-gb-1-tb-hdd-windows-10-home-15s-gy0001au-thin-light-laptop/p/itmfde60f9520336?pid=COMGFHGFZ7HFZSBA&lid=LSTCOMGFHGFZ7HFZSBAUCAPYE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=7387046b-3b3c-4f66-acde-e79a279f5106.COMGFHGFZ7HFZSBA.SEARCH&ppt=hp&ppn=homepage&ssid=mpe3w0611c0000001622429046240&qH=c06ea84a1e3dc3c6
"HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15-ec0101AX Gaming Laptop  (15.6 inch, Black, 2.04 kg)","56,144","50,990",https://www.flipkart.com/hp-pavilion-gaming-ryzen-5-quad-core-3550h-8-gb-1-tb-hdd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-15-ec0101ax-laptop/p/itma1af6bf593dc8?pid=COMFSFNVDXG74QXR&lid=LSTCOMFSFNVDXG74QXRY8FRH2&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=SEARCH&iid=7387046b-3b3c-4f66-acde-e79a279f5106.COMFSFNVDXG74QXR.SEARCH&ppt=hp&ppn=homepage&ssid=mpe3w0611c0000001622429046240&qH=c06ea84a1e3dc3c6
